time	V(pay)/(D(V(Vind,Vtr))/D(time)+10/280e-9*V(Vind,Vtr))	V(vtr)
2.886629230674813e-007	-1.231208e-009	4.377765e+001
2.892109690184348e-007	-1.679193e-009	4.306394e+001
2.898383754347997e-007	-2.400780e-009	4.247450e+001
2.904120382977158e-007	-4.269321e-009	4.212969e+001
2.910073295527592e-007	-1.596151e-008	4.196586e+001
2.916263187092541e-007	8.380722e-009	4.199180e+001
2.922956917377337e-007	2.867129e-009	4.226471e+001
2.932961551174122e-007	1.661190e-009	4.312917e+001
2.944944321332364e-007	1.156152e-009	4.476976e+001
2.951660925487118e-007	8.380446e-010	4.607042e+001
2.956568999629855e-007	6.385615e-010	4.733455e+001
2.962983383312880e-007	5.256834e-010	4.940197e+001
2.968876360053212e-007	4.411010e-010	5.170512e+001
2.973980380257693e-007	3.828148e-010	5.404790e+001
2.979031068574345e-007	3.438014e-010	5.666531e+001
2.985911933829928e-007	3.170592e-010	6.058109e+001
2.994988715609990e-007	2.961893e-010	6.614388e+001
3.004315307675829e-007	2.807808e-010	7.221992e+001
3.014977220744425e-007	2.703367e-010	7.950257e+001
3.026488537601082e-007	2.676001e-010	8.761393e+001
3.041866097249973e-007	2.738342e-010	9.853194e+001
3.064789023426136e-007	2.873058e-010	1.142545e+002
3.089121135845817e-007	3.271641e-010	1.293112e+002
3.109171742387524e-007	4.455668e-010	1.392458e+002
3.126954496088269e-007	8.201870e-010	1.449564e+002
3.143622449478287e-007	7.322056e-009	1.469708e+002
3.159615394648261e-007	-1.111444e-009	1.457054e+002
3.175732248956232e-007	-5.537134e-010	1.414467e+002
3.199065972591500e-007	-4.227873e-010	1.319335e+002
3.224851763285470e-007	-3.882691e-010	1.193805e+002
3.257212371390955e-007	-4.041668e-010	1.034105e+002
3.293070009702584e-007	-4.619574e-010	8.779053e+001
3.318422461736040e-007	-6.786079e-010	7.940621e+001
3.344565204373571e-007	-1.081755e-009	7.384772e+001
3.362421176359473e-007	-2.858722e-009	7.195982e+001
3.377418864117850e-007	1.197968e-008	7.173476e+001
3.388953722461873e-007	2.150250e-009	7.236257e+001
3.400424631426731e-007	1.175590e-009	7.377023e+001
3.423366449356446e-007	8.581719e-010	7.811088e+001
3.446378590942986e-007	6.838653e-010	8.391997e+001
3.476928779673601e-007	6.096470e-010	9.308720e+001
3.505346511766787e-007	6.254913e-010	1.019183e+002
3.533638082153565e-007	7.318812e-010	1.099110e+002
3.559919794713329e-007	1.010010e-009	1.156692e+002
3.583313629888128e-007	1.705281e-009	1.189413e+002
3.598997096873630e-007	8.003791e-009	1.198609e+002
3.614642846309211e-007	-4.064404e-009	1.196394e+002
3.629957823394297e-007	-1.627838e-009	1.183927e+002
3.654864877075859e-007	-1.130970e-009	1.147963e+002
3.682671586155205e-007	-9.553883e-010	1.094586e+002
3.723006003246789e-007	-9.205637e-010	1.009857e+002
3.760976345249008e-007	-1.037646e-009	9.373913e+001
3.786108323178757e-007	-1.486065e-009	9.006898e+001
3.806861824996392e-007	-2.479458e-009	8.811312e+001
3.823565704917946e-007	-5.853013e-009	8.729225e+001
3.837189078540333e-007	2.587445e-008	8.715864e+001
3.851536117425738e-007	4.645102e-009	8.750732e+001
3.865818300246005e-007	2.482891e-009	8.833118e+001
3.887594684529684e-007	1.775496e-009	9.033710e+001
3.917537971961344e-007	1.449771e-009	9.398167e+001
3.953024858440527e-007	1.330812e-009	9.890117e+001
3.979477141484632e-007	1.508899e-009	1.024745e+002
4.008576920674654e-007	1.915509e-009	1.057399e+002
4.035295388596304e-007	2.860750e-009	1.078394e+002
4.054342616731724e-007	6.203195e-009	1.086598e+002
4.067459178721525e-007	-3.194013e-008	1.087893e+002
4.084953882393481e-007	-5.750301e-009	1.084556e+002
4.103890280177632e-007	-3.131177e-009	1.075703e+002
4.130313255440502e-007	-2.341285e-009	1.056406e+002
4.162958751340820e-007	-2.107864e-009	1.027083e+002
4.206181281715470e-007	-2.119693e-009	9.875414e+001
4.238792858518765e-007	-2.645070e-009	9.622720e+001
4.261506299131267e-007	-4.139699e-009	9.498724e+001
4.280492097682705e-007	-8.110648e-009	9.438469e+001
4.295574602484826e-007	-1.267763e-007	9.421561e+001
4.313387292164539e-007	1.169617e-008	9.434937e+001
4.331233006935800e-007	5.558159e-009	9.479803e+001
4.353117095480907e-007	3.862308e-009	9.572424e+001
4.382258617877086e-007	3.213240e-009	9.735600e+001
4.421220649152961e-007	2.974463e-009	9.978893e+001
4.450354868442215e-007	3.339463e-009	1.015228e+002
4.474419400183891e-007	4.418043e-009	1.026947e+002
4.496945753615606e-007	6.679729e-009	1.034644e+002
4.516061078250994e-007	1.330605e-008	1.038415e+002
4.529676142188548e-007	-1.058909e-007	1.039159e+002
4.548943453977089e-007	-1.398919e-008	1.037705e+002
4.567164887944143e-007	-7.168741e-009	1.034048e+002
4.593727294776991e-007	-5.311167e-009	1.025546e+002
4.625091340432146e-007	-4.735070e-009	1.013077e+002
4.669628618034517e-007	-4.617012e-009	9.947114e+001
4.699939195629289e-007	-5.697054e-009	9.838845e+001
4.721789655309824e-007	-8.595637e-009	9.781925e+001
4.741079287185206e-007	-1.557860e-008	9.751023e+001
4.757273584510161e-007	-7.071832e-008	9.740019e+001
4.773897356057059e-007	3.373383e-008	9.742769e+001
4.790176882121274e-007	1.344036e-008	9.758772e+001
4.813507006365918e-007	9.034391e-009	9.800061e+001
4.840433192316465e-007	7.378067e-009	9.865440e+001
4.876929466225300e-007	7.024571e-009	9.966187e+001
4.920440919021557e-007	7.352328e-009	1.008036e+002
4.945841020319820e-007	1.021601e-008	1.013334e+002
4.965660739721804e-007	1.724401e-008	1.016060e+002
4.983138348011162e-007	3.816337e-008	1.017310e+002
5.000000000000000e-007	8.174561e-008	1.017729e+002
